uid	canonical	mapped	weak	sentinel_quote	gold	decision(keep/drop)	note
medqa::test::749	giant cell arteritis	1	0	pain in his jaw that is worse when he chews	IV steroids		
medxpertqa-r::test::Text-878	giant cell arteritis	1	0	right temporal headache and right eye visual blurring ... worsen with mastication	Methylprednisolone		
medxpertqa-r::test::Text-750	high-altitude cerebral edema	1	0	acute onset confusion, gait disturbance, and decreased mental status over the past 2 hours	Dexamethasone		
medxpertqa-r::test::Text-2217	hyperammonemic encephalopathy	1	0	progressive somnolence following 6 hours of behavioral changes and irritability	X-linked		
medxpertqa-r::test::Text-1395	intra-abdominal hemorrhage	1	0	motor vehicle collision ... The car was struck on the passenger side ... He reports abdominal pain	Shoulder pain		
medxpertqa-r::test::Text-787	intra-abdominal hemorrhage	1	0	fell over the handlebars onto the ground ... currently on apixaban therapy ... blood pressure is 102/63 mmHg	Administer intravenous fluid bolus		
medxpertqa-r::test::Text-2397	methemoglobinemia	1	0	pallor, lethargy, and shortness of breath ... after ingesting pills ... referred to as "poppers"	Oxidation of hemoglobin		
nejm::46	necrotizing fasciitis	1	0	swelling, tenderness, and crepitus	Delay in surgical intervention >24 hours		
medqa::test::1251	neuroborreliosis	1	0	A circular red rash with central c[learing]	Ixodes scapularis		
medxpertqa-r::test::Text-73	neuroleptic malignant syndrome	1	0	temperature 105°F (40.6°C), heart rate 150/min ... schizophrenia, for which he takes haloperidol	Exertional heat stroke		
medxpertqa-r::test::Text-1636	opioid overdose	1	0	altered mental status and is unresponsive to questions ... PaCO2: 80 mmHg	Heroin overdose		
medqa::test::984	organophosphate poisoning	1	0	the man is drooling and his eyes are tearing excessively... tilling the fields on the family beet farm when sh	2-pralidoxime		
medqa::test::320	perforated viscus	1	0	Examination shows a distended, rigid abdomen	Abdominal x-ray		
medxpertqa-r::test::Text-1197	perforated viscus	1	0	Today, the pain is 10/10, unrelenting for 30 minutes	Left gastric artery		
medxpertqa-r::test::Text-896	perforated viscus	1	0	two episodes of dark brown emesis today	Inflammation and edema		
medqa::test::782	preeclampsia / HELLP / eclampsia	1	0	admitted to the hospital at 36 weeks gestation after a generalized tonic-clonic seizure	Proteinuria		
medxpertqa-r::test::Text-1737	preeclampsia / HELLP / eclampsia	1	0	blood pressure of 145/92 mm Hg and a urine dipstick showing 1+ proteinuria	Start labetalol, and discharge for outpatient management, wi		
medbullets::test::23	pulmonary embolism	1	0	She was hiking when she suddenly felt unable to breathe	Normal DLCO		
medxpertqa-r::test::Text-132	pulmonary embolism	1	0	acute onset of pleuritic chest pain and shortness of breath ... left lower leg swelling and pain	CT pulmonary angiography		
medxpertqa-r::test::Text-1640	pulmonary embolism	1	0	sudden-onset pleuritic chest pain and shortness of breath	Ventilation-perfusion imaging		
medxpertqa-r::test::Text-1756	pulmonary embolism	1	0	Twelve hours after undergoing a femoral artery embolectomy, an 84-year-old man is found unconscious on the flo	Filling defect of a pulmonary artery on CT pulmonary angiogr		
medxpertqa-r::test::Text-289	pulmonary embolism	1	0	develops sudden pleuritic chest pain and shortness of breath	Administer intravenous heparin		
medxpertqa-r::test::Text-646	pulmonary embolism	1	0	progressively worsening dyspnea over the last 3 days ... pleuritic chest pain	Rib raising		
medxpertqa-r::test::Text-709	pulmonary embolism	1	0	pleuritic chest pain ... began after returning from a flight from Brazil	Bolus of IV fluids		
nejm::62	pulmonary embolism	1	0	history of ulcerative colitis and pulmonary embolism presented with a 3-day history of dry cough and pleuritic	Hampton’s hump		
medxpertqa-u::test::Text-1095	raised intracranial pressure	1	0	severe headaches persisting for the past two weeks... accompanied by dizziness and vomiting, which he notes ar	Loss of nasal visual field in the left eye		
medqa::test::448	ruptured abdominal aortic aneurysm	1	0	presents with abdominal pain and ‘bruising on his feet’	Emergency open surgical repair		
medxpertqa-r::test::Text-1122	ruptured abdominal aortic aneurysm	1	0	pulsatile mass in the periumbilical region upon deep palpation	Accumulation of foam cells in the tunica intima		
medxpertqa-r::test::Text-2046	ruptured abdominal aortic aneurysm	1	0	sudden abdominal pain followed by loss of consciousness	Administer normal saline bolus		
medxpertqa-r::test::Text-2196	salicylate toxicity	1	0	She is comatose but exhibits spontaneous deep and rapid breathing	Medication overdose		
medxpertqa-r::test::Text-1190	sepsis / septic shock	1	0	minimally responsive, withdrawing only to painful stimuli... blood pressure 90/48 mmHg	Fulminant liver failure		
medxpertqa-r::test::Text-2275	sepsis / septic shock	1	0	daily fevers reaching 38.9
celsius ... weekly oral methotrexate 20 mg, weekly subcutaneous etanercept 50 mg	Drug-induced lupus		
medxpertqa-r::test::Text-531	sepsis / septic shock	1	0	temperature of 104.9
cF (40.5
cC), hypotension (60/35 mmHg), tachycardia (130/min)	Code status		
medxpertqa-r::test::Text-1723	septic arthritis	1	0	sudden onset joint pain affecting his right knee and left wrist ... untreated community-acquired pneumonia	Streptococcus pneumoniae		
medqa::test::746	serotonin syndrome	1	0	presents to the emergency room with a fever... worsening malaise and diaphoresis over the past 48 hours	Increased tryptophan intake		
medxpertqa-r::test::Text-1055	serotonin syndrome	1	0	temperature 39.6\u00b0C (103.2\u00b0F), heart rate 135/min, blood pressure 178/98 mm Hg	Dantrolene		
medxpertqa-r::test::Text-1482	severe symptomatic hyponatremia	1	0	discovered unconscious in an alley surrounded by empty beer containers. During IV line placement attempts, he 	Normal extracellular fluid status		
medxpertqa-r::test::Text-2183	status asthmaticus	1	0	severe persistent asthma presents to the emergency department with respiratory distress lasting 3 days	Lactic acidosis		
medxpertqa-r::test::Text-1053	strangulated hernia	1	0	sudden right scrotal pain, accompanied by swelling and nausea, which began three hours earlier after lifting a	No further tests are needed		
medbullets::test::163	subarachnoid hemorrhage	1	0	this is the worst headache of her life	Fat-soluble vitamin overuse		
medxpertqa-r::test::Text-1353	subarachnoid hemorrhage	1	0	acute onset of severe headache and neck stiffness lasting two hours, describing it as his worst headache ever	Nodular hepatomegaly		
medxpertqa-r::test::Text-220	superior vena cava syndrome	1	0	intermittent swelling of his face and arms, which worsens when lying flat	Right upper lobe		
medqa::test::342	tension pneumothorax	1	0	the patient is in moderate respiratory distress	Needle thoracostomy		
medxpertqa-r::test::Text-178	tension pneumothorax	1	0	Left-sided diminished breath sounds, rib deformity, and rightward tracheal deviation	Right distal femur		
medxpertqa-r::test::Text-900	tension pneumothorax	1	0	respiratory rate of 25 breaths per minute (stem truncated; tension pneumothorax implied by the required interv	Placement of a large-bore thoracostomy tube		
medxpertqa-r::test::Text-1665	testicular torsion	1	0	acute testicular pain that began 15 minutes prior and has not subsided	Bilateral surgical procedure		
medxpertqa-r::test::Text-199	testicular torsion	1	0	acute onset of severe lower abdominal pain and right groin pain, accompanied by nausea and vomiting for the pa	increased muscle tension in the paravertebral tissue at T10-		
medqa::38	volvulus	1	0	several episodes of bilious vomiting and is intolerant to feeding since birth	Duodenal atresia		
medxpertqa-r::test::Text-1913	volvulus	1	0	three episodes of bilious vomiting	Jejunal atresia		
medxpertqa-r::test::Text-63	volvulus	1	0	progressive abdominal pain that has intensified in the last 24 hours... no bowel movement for the past 72 hour	Malrotation of the gut		
